output,time_step,indicator,cor_value,p_value
AN,9,TP,0.21889542645561416,***
AN,9,WT,0.04722882900812681,**
AN,10,AN,0.5791930687281508,***
AN,10,BOD,0.006596570450260297,
AN,10,COD,0.03449237674128548,*
AN,10,DO,0.10242141228313019,***
AN,10,pH,0.23026661642544138,***
AN,10,TP,0.22610271010992095,***
AN,10,WT,0.04198394504623324,*
AN,11,AN,0.63890174908497,***
AN,11,BOD,0.039785368767112944,*
AN,11,COD,0.027888301921780653,
AN,11,DO,0.03416336926110468,*
AN,11,pH,0.21204633658725539,***
AN,11,TP,0.23456876098158488,***
AN,11,WT,0.11386499314580568,***
AN,12,AN,0.663059110229738,***
AN,12,BOD,0.04679320558212579,**
AN,12,COD,0.02471005841584914,
AN,12,DO,0.0028204484454519476,
AN,12,pH,0.2018584344969408,***
AN,12,TP,0.22904205311847065,***
AN,12,WT,0.15345302534058608,***
BOD,1,AN,0.053053668942449096,***
BOD,1,BOD,0.43542952757382025,***
BOD,1,COD,0.08938245319605943,***
BOD,1,DO,0.26081794571697836,***
BOD,1,pH,0.0989119127191127,***
BOD,1,TP,0.0070588099631517,
BOD,1,WT,0.25134561524126037,***
BOD,2,AN,0.03574463816805012,*
BOD,2,BOD,0.33671982477907225,***
BOD,2,COD,0.06569123746470254,***
BOD,2,DO,0.2163681161418033,***
BOD,2,pH,0.08591764634600198,***
BOD,2,TP,0.00442373269077793,
BOD,2,WT,0.21300172794334787,***
BOD,3,AN,0.012255334436422575,
BOD,3,BOD,0.23899823719757585,***
BOD,3,COD,0.07335252917241555,***
BOD,3,DO,0.12453868407323479,***
BOD,3,pH,0.05424164874981575,***
BOD,3,TP,0.010297682832184771,
BOD,3,WT,0.12721447362946833,***
BOD,4,AN,0.020442458963674352,
BOD,4,BOD,0.18159687000520608,***
BOD,4,COD,0.07573023737330659,***
BOD,4,DO,0.025510981883422757,
BOD,4,pH,0.03922739288516522,*
BOD,4,TP,0.008788948718217594,
BOD,4,WT,0.009564893916698743,
BOD,5,AN,0.05737988440432862,***
BOD,5,BOD,0.12704294388387125,***
BOD,5,COD,0.07177863196506112,***
BOD,5,DO,0.057863640257161966,***
BOD,5,pH,0.04406536890774185,**
BOD,5,TP,0.00367965124249065,
BOD,5,WT,0.09833093985651467,***
BOD,6,AN,0.07604852608897088,***
BOD,6,BOD,0.10244138220724855,***
BOD,6,COD,0.08388073850770789,***
BOD,6,DO,0.11809902777087963,***
BOD,6,pH,0.044497226040760555,**
BOD,6,TP,0.018640237419251172,
BOD,6,WT,0.1684648605235758,***
BOD,7,AN,0.08962557003117402,***
BOD,7,BOD,0.10927692361081759,***
BOD,7,COD,0.0567738888207145,***
BOD,7,DO,0.13158763552073977,***
BOD,7,pH,0.04089448356784832,*
BOD,7,TP,0.02041456130135997,
BOD,7,WT,0.20494289857848125,***
BOD,8,AN,0.07608333974492726,***
BOD,8,BOD,0.155767215753896,***
BOD,8,COD,0.05830605218959982,***
BOD,8,DO,0.10013993193634531,***
BOD,8,pH,0.04420327220483689,**
BOD,8,TP,0.030490668054702495,
BOD,8,WT,0.1717120484148542,***
BOD,9,AN,0.07303914626039425,***
BOD,9,BOD,0.18068027660752184,***
BOD,9,COD,0.04461750050402554,**
BOD,9,DO,0.029810532815607672,
BOD,9,pH,0.07416016764340068,***
BOD,9,TP,0.016694287394066303,
BOD,9,WT,0.08897662358139599,***
BOD,10,AN,0.04704164022962356,**
